2025-09-25 00:56:59 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 00:57:47 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:57:47 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:57:47 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 00:58:48 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:58:48 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:58:48 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:00:41 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:00:41 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:00:41 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:01:56 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:01:56 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:01:56 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:04:05 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:04:05 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:04:05 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:15:20 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:15:20 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:15:20 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:16:38 - logger - INFO - 未找到结果: https://scholar.google.com/scholar len(result_list)=0
2025-09-25 01:19:48 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:19:49 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:19:49 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:20:48 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:20:48 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:20:48 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:21:35 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:21:35 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:21:35 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:22:31 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 01:22:31 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 01:22:31 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 01:23:03 - logger - INFO - 未找到结果: https://scholar.google.com/scholar len(result_list)=0
2025-09-25 01:26:58 - logger - INFO - ID hxbdOuoAAAAJ 文章请求失败，跳过。
2025-09-25 01:27:44 - logger - INFO - ID Kze5eGkAAAAJ 首页请求失败，跳过。
2025-09-25 01:28:39 - logger - INFO - ID Kze5eGkAAAAJ 合作者请求失败，跳过。
2025-09-25 01:30:09 - logger - INFO - ID xmwanZcAAAAJ 首页请求失败，跳过。
2025-09-25 01:30:58 - logger - INFO - ID xmwanZcAAAAJ 合作者请求失败，跳过。
2025-09-25 01:31:47 - logger - INFO - ID xmwanZcAAAAJ 文章请求失败，跳过。
2025-09-25 01:32:35 - logger - INFO - ID yWZdmLYAAAAJ 首页请求失败，跳过。
2025-09-25 01:33:32 - logger - INFO - ID yWZdmLYAAAAJ 合作者请求失败，跳过。
